Time,Zone_0,Zone_1,Zone_2,Zone_3,Zone_4,Zone_5,Zone_6,Zone_7,Zone_8,Zone_9,Zone_10,Zone_11,Zone_12,Zone_13,Zone_14,Zone_15,Zone_16,Zone_17,Zone_18,Zone_19,Zone_20,Zone_21,Zone_22,Zone_23,Zone_24,Zone_25,Zone_26,Zone_27,Zone_28,Zone_29,Zone_30,Zone_31,Zone_32,Zone_33,Zone_34,Zone_35,Zone_36,Zone_37,Zone_38,Zone_39,Zone_40,Zone_41,Zone_42,Zone_43,Zone_44,Zone_45,Zone_46,Zone_47,Zone_48,Zone_49,Zone_50,Zone_51,Zone_52,Zone_53,Zone_54,Zone_55,Zone_56,Zone_57,Zone_58,Zone_59,Zone_60,Zone_61,Zone_62,Zone_63,Label,Volume
1750724190000,1592,1577,1561,1549,1526,1535,1518,1514,1586,1573,1553,1548,1550,1537,1523,1520,1586,1580,1575,1575,1557,1548,1547,1531,1612,1592,1575,1583,1568,1564,1544,1541,1618,1606,1593,344,1467,1559,1555,1552,1625,1620,337,281,1598,1586,1567,1571,1655,331,260,256,258,292,1579,1527,1675,286,241,228,236,270,1475,1464,Not_Drinking,300.0
1750724190200,1579,1572,1556,1549,1531,1524,1524,1511,1585,1578,1559,1554,1550,1542,1525,1523,1595,1577,1565,1556,1559,1551,1538,1524,1606,1591,1592,1577,1576,1561,1548,1539,1618,1596,1598,330,1472,1571,1570,1555,1643,1622,342,276,321,1584,1571,1574,1657,304,256,251,257,294,1560,1490,1699,284,240,228,234,1560,1472,1488,Not_Drinking,300.0
1750724190400,1590,1572,1556,1549,1531,1524,1521,1511,1586,1573,1553,1548,1550,1542,1525,1520,1590,1577,1571,1566,1557,1550,1542,1525,1612,1592,1582,1579,1576,1562,1547,1539,1618,1596,1598,1092,1467,1571,1563,1552,1640,1622,782,603,755,1586,1571,1571,1657,965,260,251,257,908,1560,1490,1684,286,241,228,234,270,1472,1488,Not_Drinking,300.0
1750724190600,1583,1567,1556,1549,1537,1520,1521,1508,1592,1575,1559,1554,1550,1542,1530,1523,1595,1577,1571,1566,1559,1550,1542,1525,1606,1597,1589,1579,1576,1561,1547,1536,1620,1596,1600,1093,1472,1572,1563,1555,1643,1622,782,604,755,1584,1574,1569,1663,1123,600,251,257,907,1560,1490,1695,1526,240,228,233,264,1472,1488,Not_Drinking,300.0
1750724190800,1589,1567,1563,1551,1537,1520,1521,1508,1602,1575,1572,1559,1549,1542,1530,1522,1596,1580,1572,1574,1558,1549,1542,1525,1613,1601,1589,1579,1571,1562,1544,1536,1625,1609,1600,1095,1497,1572,1563,1549,1640,1615,784,607,915,1580,1575,1566,1663,1123,600,252,586,1548,1562,1495,1695,1526,243,228,232,262,1471,1487,Not_Drinking,300.0
1750724191000,1589,1577,1564,1551,1541,1522,1523,1508,1602,1580,1572,1559,1549,1540,1531,1522,1598,1585,1572,1574,1558,1549,1540,1528,1614,1601,1589,1577,1568,1560,1544,1540,1623,1609,1597,1097,1515,1571,1563,1548,1639,1615,784,609,921,1580,1574,1569,1659,1121,599,252,590,1581,1563,1508,1695,1514,242,228,231,260,1463,1477,Not_Drinking,300.0
1750724191200,1589,1577,1564,1556,1536,1530,1524,1511,1602,1582,1562,1556,1552,1540,1528,1522,1598,1585,1579,1563,1558,1549,1538,1531,1614,1597,1596,1577,1564,1560,1548,1546,1629,1608,1590,1254,1543,1571,1563,1548,1639,1615,1574,765,922,1581,1575,1562,1659,1274,752,252,588,1565,1563,1517,1688,1514,242,229,231,259,1466,1477,Not_Drinking,300.0
1750724191400,1597,1576,1566,1555,1543,1531,1526,1511,1597,1580,1562,1556,1554,1540,1533,1525,1599,1585,1581,1563,1553,1549,1537,1533,1614,1594,1585,1577,1564,1557,1548,1546,1623,1606,1597,1253,1543,1571,1557,1548,1635,1622,1574,768,927,1587,1575,1562,1659,1123,602,252,590,1581,1564,1508,1688,302,242,229,232,258,1465,1477,Not_Drinking,300.0
1750724191600,1590,1573,1566,1556,1541,1531,1526,1513,1597,1582,1562,1559,1552,1533,1526,1529,1599,1594,1581,1575,1559,1548,1537,1533,1614,1597,1589,1572,1564,1557,1548,1546,1626,1603,1596,1099,1543,1571,1554,1542,1633,1614,784,613,924,1581,1575,1558,1665,971,263,251,587,1565,1571,1515,1703,315,242,228,232,258,1466,1477,Not_Drinking,300.0
1750724191800,1593,1573,1566,1561,1543,1532,1529,1518,1605,1586,1567,1560,1552,1544,1535,1527,1602,1587,1578,1575,1556,1549,1537,1534,1614,1602,1588,1572,1568,1560,1544,1540,1622,1603,1600,1099,1537,1570,1554,1542,1633,1612,785,612,924,1579,1567,1558,1656,970,263,252,589,1578,1571,1507,1710,304,242,228,232,258,1474,1475,Not_Drinking,300.0
1750724192000,1593,1584,1565,1561,1541,1532,1529,1518,1608,1588,1570,1560,1552,1533,1530,1527,1601,1594,1576,1574,1559,1552,1541,1535,1609,1602,1588,1573,1568,1563,1554,1538,1622,1603,1605,1099,1537,1566,1563,1556,1643,1612,786,613,923,1579,1567,1558,1663,973,264,251,587,1566,1571,1515,1710,315,242,229,231,259,1474,1475,Not_Drinking,300.0
1750724192200,1601,1584,1564,1558,1537,1529,1521,1518,1605,1586,1570,1552,1552,1532,1533,1525,1602,1587,1570,1574,1561,1552,1537,1535,1609,1595,1582,1573,1572,1560,1554,1538,1618,1598,1605,1101,1548,1570,1563,1556,1643,1612,785,614,926,1582,1567,1563,1656,966,264,251,589,1578,1571,1524,1669,304,243,229,231,259,1467,1474,Not_Drinking,300.0
1750724192400,1601,1572,1563,1557,1537,1529,1521,1511,1597,1585,1566,1552,1551,1532,1533,1524,1601,1589,1570,1563,1561,1552,1534,1528,1608,1595,1582,1573,1572,1558,1554,1538,1615,1598,1606,1101,1548,1570,1557,1551,1634,1619,786,616,927,1584,1566,1563,1663,1117,598,251,589,1570,1571,1524,1669,1503,244,230,234,259,1467,1468,Not_Drinking,300.0
1750724192600,1584,1569,1559,1553,1536,1534,1524,1511,1588,1581,1562,1553,1551,1544,1533,1525,1588,1578,1568,1573,1555,1549,1534,1528,1604,1595,1593,1578,1572,1558,1551,1550,1617,1610,1601,1097,1505,1571,1557,1551,1627,1620,788,610,922,1582,1570,1562,1651,964,262,251,590,1579,1569,1500,1679,297,243,229,235,260,1460,1474,Not_Drinking,300.0
1750724192800,1582,1569,1558,1546,1543,1534,1526,1514,1588,1572,1556,1560,1551,1544,1535,1524,1588,1587,1572,1570,1555,1557,1535,1538,1608,1591,1593,1578,1578,1556,1551,1550,1615,1610,1599,1255,1505,1571,1562,1552,1627,1619,1602,767,923,1584,1574,1562,1651,1123,606,252,591,1581,1568,1500,1679,304,246,230,235,260,1474,1472,Not_Drinking,300.0
1750724193000,1582,1569,1558,1553,1548,1531,1538,1522,1584,1573,1556,1560,1555,1549,1535,1526,1594,1578,1572,1570,1562,1549,1540,1541,1602,1589,1584,1576,1578,1565,1551,1543,1616,1594,1598,1592,1521,1573,1562,1552,1626,1608,940,768,1079,1574,1574,1567,1651,965,267,253,591,1581,1564,1506,1673,302,245,228,235,260,1465,1472,Not_Drinking,300.0
1750724193200,1582,1569,1560,1562,1549,1531,1538,1525,1588,1573,1556,1557,1555,1542,1532,1534,1596,1582,1572,1568,1563,1558,1539,1541,1608,1590,1584,1574,1575,1561,1552,1543,1609,1594,1595,1592,1552,1573,1562,1549,1629,1605,939,771,1081,1570,1569,1567,1655,965,267,255,589,1569,1564,1532,1669,304,246,230,235,260,1465,1469,Not_Drinking,300.0
1750724193400,1590,1567,1560,1562,1549,1544,1542,1522,1584,1573,1557,1555,1553,1542,1532,1537,1596,1579,1578,1568,1563,1556,1539,1532,1604,1589,1584,1574,1573,1567,1554,1543,1609,1594,1595,1594,1552,1573,1562,1549,1629,1605,939,771,1081,1570,1569,1566,1655,964,267,255,589,1569,1564,1532,1667,302,247,230,233,263,1465,1469,Not_Drinking,300.0
1750724193600,1590,1567,1558,1559,1546,1545,1542,1511,1578,1570,1557,1555,1548,1542,1534,1537,1591,1579,1578,1570,1566,1556,1539,1530,1604,1581,1584,1572,1571,1567,1555,1541,1606,1587,1605,1594,1551,1574,1579,1554,1630,1610,940,772,1088,1580,1580,1562,1647,964,265,255,595,1608,1569,1528,1667,302,248,231,231,263,1465,1479,Not_Drinking,300.0
1750724194000,1590,1567,1558,1559,1546,1545,1542,1511,1578,1570,1557,1555,1548,1542,1534,1537,1591,1579,1578,1570,1566,1556,1539,1530,1604,1581,1584,1572,1571,1567,1555,1541,1606,1587,1605,1594,1551,1574,1579,1554,1630,1610,940,772,1088,1580,1580,1562,1647,964,265,255,595,1608,1569,1528,1667,302,248,231,231,263,1465,1479,Not_Drinking,300.0
1750724194200,1588,1569,1558,1559,1545,1530,1531,1519,1584,1570,1562,1555,1548,1542,1534,1533,1591,1579,1571,1565,1566,1556,1539,1536,1608,1593,1584,1582,1571,1567,1555,1541,1606,1601,1593,1262,1551,1574,1568,1554,1630,1617,1631,776,929,1580,1580,1563,1649,1126,611,253,590,1584,1572,1529,1662,314,246,229,231,261,1464,1479,Not_Drinking,300.0
1750724194400,1588,1570,1558,1550,1541,1530,1528,1519,1591,1574,1562,1555,1554,1534,1539,1533,1597,1581,1571,1565,1562,1556,1541,1536,1610,1595,1584,1583,1574,1559,1552,1540,1609,1601,1592,1262,1552,1569,1565,1554,1622,1622,1631,776,929,1583,1579,1567,1649,1124,612,252,590,1584,1573,1529,1647,314,246,228,233,259,1463,1485,Not_Drinking,300.0
1750724194600,1588,1572,1554,1550,1545,1538,1528,1513,1591,1582,1561,1555,1555,1534,1539,1533,1599,1581,1580,1566,1560,1553,1537,1538,1608,1595,1584,1582,1575,1559,1546,1544,1609,1608,1589,1260,1547,1578,1563,1554,1628,1622,1625,774,930,1583,1580,1567,1649,1124,610,253,590,1584,1574,1523,1662,304,244,228,233,259,1463,1493,Not_Drinking,300.0
1750724194800,1589,1574,1554,1547,1541,1543,1528,1513,1591,1580,1553,1559,1555,1546,1536,1528,1599,1585,1580,1571,1562,1553,1539,1538,1610,1595,1585,1581,1581,1559,1546,1543,1612,1600,1589,1101,1547,1569,1557,1557,1628,1620,786,614,930,1583,1579,1570,1647,965,263,253,592,1596,1574,1521,1671,304,246,228,232,259,1466,1493,Not_Drinking,300.0
1750724195000,1593,1573,1566,1550,1550,1538,1529,1519,1584,1580,1561,1553,1543,1546,1535,1528,1597,1585,1580,1575,1555,1553,1539,1533,1610,1591,1592,1581,1579,1557,1554,1543,1612,1600,1588,1102,1547,1569,1556,1560,1628,1619,784,614,929,1580,1573,1570,1643,964,263,253,591,1596,1571,1515,1671,303,245,228,231,259,1466,1489,Not_Drinking,300.0
1750724195200,1593,1573,1566,1566,1545,1536,1529,1523,1592,1573,1558,1552,1543,1546,1535,1529,1597,1582,1579,1574,1555,1552,1539,1533,1610,1588,1592,1583,1579,1557,1557,1543,1610,1590,1588,1595,1571,1569,1556,1557,1627,1620,938,772,1088,1580,1573,1568,1647,964,264,253,592,1596,1571,1515,1668,304,246,228,232,261,1463,1489,Not_Drinking,300.0
1750724195400,1584,1573,1563,1566,1545,1536,1529,1523,1589,1567,1568,1552,1549,1546,1535,1529,1594,1582,1576,1574,1555,1552,1550,1535,1604,1589,1592,1583,1567,1557,1557,1541,1610,1590,1588,1104,1571,1572,1559,1556,1622,1623,784,618,929,1580,1573,1560,1643,964,265,252,588,1567,1570,1516,1668,302,246,228,232,261,1463,1479,Not_Drinking,300.0
1750724195600,1584,1570,1559,1563,1545,1533,1535,1524,1592,1567,1558,1555,1549,1545,1535,1529,1595,1590,1569,1570,1563,1551,1550,1536,1601,1589,1587,1577,1567,1557,1552,1541,1615,1590,1588,1595,1544,1575,1564,1553,1627,1623,939,769,1082,1583,1574,1559,1645,965,265,252,589,1567,1573,1531,1671,302,247,228,233,261,1463,1467,Not_Drinking,300.0
1750724195800,1591,1573,1561,1558,1546,1534,1531,1528,1594,1573,1568,1561,1554,1544,1529,1529,1595,1590,1569,1563,1563,1551,1538,1535,1604,1594,1587,1577,1570,1557,1548,1541,1615,1595,1594,1580,1544,1572,1559,1553,1626,1618,939,768,1083,1579,1570,1559,1637,965,266,254,592,1588,1570,1533,1689,298,247,230,233,260,1462,1462,Not_Drinking,300.0
1750724196000,1595,1572,1561,1563,1550,1534,1535,1526,1601,1588,1573,1561,1556,1543,1546,1526,1595,1590,1569,1570,1562,1555,1538,1538,1601,1594,1583,1577,1581,1565,1548,1547,1606,1595,1594,1580,1570,1575,1555,1552,1626,1616,941,772,1087,1577,1569,1566,1641,963,272,255,593,1588,1568,1536,1671,298,247,230,233,260,1462,1448,Not_Drinking,300.0
1750724196200,1597,1581,1571,1558,1551,1534,1539,1526,1610,1588,1574,1561,1556,1544,1527,1520,1598,1588,1569,1573,1562,1555,1542,1538,1606,1589,1582,1582,1581,1566,1544,1551,1606,1595,1594,1580,1570,1572,1555,1552,1626,1604,940,773,1086,1575,1554,1567,1641,963,274,255,593,1588,1565,1547,1666,304,247,232,234,260,1471,1436,Not_Drinking,300.0
1750724196400,1601,1581,1571,1568,1551,1540,1539,1525,1611,1587,1573,1561,1554,1540,1527,1520,1598,1588,1582,1573,1562,1559,1542,1538,1607,1589,1579,1587,1575,1566,1553,1551,1610,1595,1587,1581,1570,1572,1555,1548,1630,1604,941,773,1086,1569,1554,1566,1648,965,277,255,592,1586,1565,1548,1666,304,247,230,236,261,1471,1436,Not_Drinking,300.0
