Time,Zone_0,Zone_1,Zone_2,Zone_3,Zone_4,Zone_5,Zone_6,Zone_7,Zone_8,Zone_9,Zone_10,Zone_11,Zone_12,Zone_13,Zone_14,Zone_15,Zone_16,Zone_17,Zone_18,Zone_19,Zone_20,Zone_21,Zone_22,Zone_23,Zone_24,Zone_25,Zone_26,Zone_27,Zone_28,Zone_29,Zone_30,Zone_31,Zone_32,Zone_33,Zone_34,Zone_35,Zone_36,Zone_37,Zone_38,Zone_39,Zone_40,Zone_41,Zone_42,Zone_43,Zone_44,Zone_45,Zone_46,Zone_47,Zone_48,Zone_49,Zone_50,Zone_51,Zone_52,Zone_53,Zone_54,Zone_55,Zone_56,Zone_57,Zone_58,Zone_59,Zone_60,Zone_61,Zone_62,Zone_63,Label,Volume
1750634934000,1617,1625,1626,1619,1612,1628,1613,1645,1600,1592,1605,1603,1608,1609,1610,1598,1578,1572,1580,1577,1585,1601,1585,1579,1561,1559,1557,1569,1558,1562,1573,1580,1543,1546,1557,1567,1559,1559,1565,1551,1533,1546,1525,1529,1543,1543,1550,1552,1526,1518,1483,1500,272,1524,1530,1537,1500,1504,295,264,242,271,1514,1527,Not_Drinking,60.0
1750634934200,1617,1625,1626,1619,1612,1628,1613,1645,1600,1592,1605,1603,1608,1609,1610,1598,1578,1572,1580,1577,1585,1601,1585,1579,1561,1559,1557,1569,1558,1562,1573,1580,1543,1546,1557,1567,1559,1559,1565,1551,1533,1546,1525,1529,1543,1543,1550,1552,1526,1518,1483,1500,272,1524,1530,1537,1500,1504,295,264,242,271,1514,1527,Not_Drinking,60.0
1750634935000,1617,1625,1626,1619,1612,1628,1613,1645,1600,1592,1605,1603,1608,1609,1610,1598,1578,1572,1580,1577,1585,1601,1585,1579,1561,1559,1557,1569,1558,1562,1573,1580,1543,1546,1557,1567,1559,1559,1565,1551,1533,1546,1525,1529,1543,1543,1550,1552,1526,1518,1483,1500,1052,1524,1530,1537,1500,1504,295,264,242,271,1514,1527,Not_Drinking,60.0
1750634935200,1640,1634,1626,1619,1623,1628,1623,1633,1595,1592,1605,1603,1600,1601,1610,1607,1578,1572,1579,1579,1583,1585,1582,1580,1555,1561,1557,1572,1566,1569,1571,1575,1552,1546,1557,1566,1559,1555,1565,1554,1533,1536,1539,1538,1549,1547,1539,1552,1518,1516,1483,896,908,1524,1532,1541,1500,1504,290,261,240,268,1514,1514,Not_Drinking,60.0
1750634935400,1640,1634,1621,1603,1623,1624,1628,1633,1595,1605,1600,1594,1600,1601,1604,1617,1586,1572,1579,1579,1583,1585,1582,1594,1555,1565,1562,1572,1572,1573,1571,1575,1556,1549,1552,1558,1552,1554,1557,1556,1533,1524,1540,1538,1549,1547,1539,1551,1512,1451,1043,756,908,1524,1532,1541,1520,1406,289,261,240,268,1523,1514,Not_Drinking,60.0
1750634935600,1630,1630,1615,1620,1623,1639,1629,1640,1596,1605,1600,1604,1609,1601,1604,1607,1587,1585,1587,1584,1584,1586,1592,1594,1563,1565,1562,1567,1576,1573,1576,1574,1556,1549,1549,1558,1560,1555,1551,1556,1533,1524,1541,1548,1549,1542,1541,1549,1512,1509,1065,756,909,1528,1532,1538,1498,1519,287,258,240,272,1523,1515,Not_Drinking,60.0
1750634935800,1630,1630,1609,1602,1604,1621,1636,1652,1605,1615,1600,1592,1609,1608,1598,1617,1587,1585,1587,1577,1591,1586,1592,1594,1563,1571,1562,1567,1581,1579,1576,1579,1556,1549,1539,1558,1552,1554,1557,1556,1533,1524,1540,1535,1545,1542,1541,1542,1509,1451,1042,754,908,1537,1529,1523,1520,1406,289,262,241,272,1530,1515,Not_Drinking,60.0
1750634936000,1630,1630,1615,1621,1632,1638,1636,1640,1599,1602,1604,1592,1609,1608,1605,1617,1587,1585,1587,1584,1587,1593,1592,1594,1563,1570,1559,1567,1581,1570,1576,1574,1551,1548,1549,1553,1562,1554,1554,1557,1533,1527,1540,1544,1545,1542,1545,1549,1529,1509,1063,755,908,1529,1529,1528,1456,1511,285,260,240,273,1529,1521,Not_Drinking,60.0
1750634936200,1646,1630,1617,1638,1637,1629,1650,1652,1599,1602,1604,1592,1609,1611,1609,1617,1587,1585,1580,1584,1591,1586,1592,1594,1551,1570,1562,1575,1582,1572,1573,1571,1551,1549,1554,1558,1561,1554,1557,1556,1531,1532,1534,1535,1545,1542,1548,1547,1526,1511,1059,753,907,1529,1529,1528,1515,1489,281,260,241,272,1529,1516,Not_Drinking,60.0
1750634936400,1646,1631,1617,1638,1637,1638,1650,1642,1599,1596,1604,1599,1607,1611,1620,1615,1582,1574,1580,1584,1589,1591,1592,1595,1551,1570,1564,1575,1582,1572,1571,1570,1551,1546,1554,1557,1561,1561,1554,1558,1531,1535,1534,1535,1542,1546,1548,1553,1526,1511,1058,750,905,1523,1532,1539,1445,1489,276,252,240,270,1511,1517,Not_Drinking,60.0
1750634936600,1634,1631,1618,1631,1634,1635,1650,1654,1595,1596,1596,1600,1613,1611,1620,1613,1581,1586,1580,1584,1589,1591,1600,1596,1556,1558,1564,1569,1576,1572,1573,1571,1548,1548,1554,1563,1559,1561,1560,1558,1537,1535,1534,1535,1552,1546,1550,1556,1525,1517,911,749,905,1523,1532,1541,1515,324,276,247,241,270,1511,1516,Not_Drinking,60.0
1750634936800,1607,1604,1602,1600,198,203,201,200,1577,1577,1589,1584,1590,1598,1596,1619,1566,1564,1572,1572,1582,1584,1592,1589,1552,1553,1555,1563,1568,1577,1565,1580,1536,1540,1547,1553,1556,1563,1570,1574,1545,1533,1543,1533,1545,1546,1556,1563,1517,1513,896,738,1052,1534,1543,1558,1515,296,245,230,232,1526,1535,1526,Not_Drinking,60.0
1750634937000,1620,1603,1602,1600,198,203,201,200,1577,1577,1582,1586,1590,1598,1596,1619,1568,1564,1572,1572,1582,1584,1594,1589,1556,1554,1546,1563,1568,1577,1563,1579,1536,1540,1538,1558,1556,1560,1570,1577,1524,1529,1543,1559,1545,1546,1558,1559,1539,1536,901,742,1056,1534,1543,1558,1515,296,245,230,232,1526,1535,1576,Drinking,60.0
